Country,Basic,Currency,,Price USD,# of TV Shows,# of Movies
Turkey,26.99,TRY,USD,1.97,2930,1709
India,199,INR,USD,2.64,3718,2125
Argentina,379,ARS,USD,3.74,3154,1606
Colombia,16900,COP,USD,4.31,3156,1835
Brazil,25.9,BRL,USD,4.61,3162,1810
Ukraine,4.99,EUR,USD,5.64,3261,2075
South Africa,99,ZAR,USD,6.26,3686,2050
Hungary,2490,HUF,USD,7.64,4802,2082
Philippines,369,PHP,USD,7.35,4154,2208
United Kingdom,5.99,GBP,USD,7.91,4551,2092
Czech Republic,199,CZK,USD,8.83,5234,2091
Peru,24.9,PEN,USD,6.11,3155,1831
Canada,9.99,CAD,USD,7.91,4311,1928
Australia,10.99,AUD,USD,7.84,4050,2064
Slovakia,7.99,EUR,USD,9.03,5055,1980
Mexico,139,MXN,USD,6.62,3158,1835
Bulgaria,7.99,EUR,USD,9.03,4819,1978
Ireland,7.99,EUR,USD,9.03,4515,1971
Malaysia,35,MYR,USD,8.29,3565,2387
Poland,29,PLN,USD,7.13,3512,1597
Lithuania,7.99,EUR,USD,9.03,4490,1972
Estonia,7.99,EUR,USD,9.03,4486,1970
Latvia,7.99,EUR,USD,9.03,4479,1971
Iceland,7.99,EUR,USD,9.03,4426,1961
Chile,5940,CLP,USD,7.07,3156,1838
Russia,599,RUB,USD,8.13,3624,2087
New Zealand,12.99,NZD,USD,8.80,4003,2081
Gibraltar,7.99,EUR,USD,9.03,4079,2088
Singapore,12.98,SGD,USD,9.51,4109,2194
South Korea,9500,KRW,USD,8.07,3334,1861
Monaco,7.99,EUR,USD,9.03,3806,1998
Germany,7.99,EUR,USD,9.03,3814,1854
Japan,990,JPY,USD,8.73,3619,1856
Austria,7.99,EUR,USD,9.03,3779,1861
Ecuador,7.99,USD,USD,7.99,3155,1837
Bolivia,7.99,USD,USD,7.99,3155,1836
Honduras,7.99,USD,USD,7.99,3154,1835
Venezuela,7.99,USD,USD,7.99,3154,1643
Guatemala,7.99,USD,USD,7.99,3154,1613
Netherlands,7.99,EUR,USD,9.03,3779,1597
Thailand,279,THB,USD,8.34,2977,1971
Romania,7.99,EUR,USD,9.03,3832,1471
Hong Kong,63,HKD,USD,8.08,2883,1863
United States,9.99,USD,USD,9.99,3826,1992
Spain,7.99,EUR,USD,9.03,3536,1693
Paraguay,8.29,USD,USD,8.29,3155,1642
Italy,7.99,EUR,USD,9.03,3545,1638
Portugal,7.99,EUR,USD,9.03,3419,1628
Uruguay,8.99,USD,USD,8.99,3154,1835
Costa Rica,8.99,USD,USD,8.99,3152,1836
Israel,32.9,ILS,USD,10.56,3650,2063
France,8.99,EUR,USD,10.16,3604,1841
Greece,7.99,EUR,USD,9.03,3344,1428
Taiwan,270,TWD,USD,9.74,3134,1971
Belgium,8.99,EUR,USD,10.16,3374,1616
Indonesia,120000,IDR,USD,8.36,2449,1438
Norway,89,NOK,USD,9.94,2955,1573
Finland,7.99,EUR,USD,9.03,2638,1407
Moldova,7.99,EUR,USD,9.03,2473,1464
Switzerland,11.9,CHF,USD,12.88,3654,1852
Sweden,99,SEK,USD,10.90,2973,1388
Denmark,79,DKK,USD,12.00,2978,1580
San Marino,7.99,EUR,USD,9.03,1937,373
Croatia,7.99,EUR,USD,9.03,1675,599
Liechtenstein,11.9,CHF,USD,12.88,1712,1336
